,merchant_id
0,81c48296-73be-44a7-befa-d053f48ce7cd
1,830a451c-316e-4a6a-bf25-e37caedca49e
2,835c231d-8cdf-4e96-859d-e9d571760cf0
3,48514682-c78a-4a88-b0da-2d6302e64673
4,b4e02c10-0852-4273-b8fd-7b3395e32eb0
5,3aa18033-a0a9-4190-a117-b7caaf4d07e3
6,ee58145d-26e8-4b01-9cd9-62378014f21d
7,cfbf535e-caa8-499f-9d41-bbdc2b836d85
8,33952b07-859c-4c0a-8b1d-813a5f6b444c
9,d920de7f-959c-4d9a-aee5-930689a2f8cd
10,b5565fff-0333-4c74-a61a-56a074d0ec0f
11,f2ef6270-cf91-409f-a6a2-fbd6735ea500
12,7e8bf667-e724-4359-a406-3538a3e27b4e
13,38997041-c666-41a4-857b-9aaea10c008d
14,354f40cb-55bc-4a81-a00d-c7faede29f8b
15,7ec296e9-6feb-46b0-b755-115ce31678c1
16,8a0fab50-4efb-41e2-a569-29346eb6c9de
17,73b8eb5f-d6e6-43fb-896a-84faa162d544
18,4af25042-a1a4-4688-90b5-240d790e5332
19,02d45834-6f65-4f52-9a33-0b242dd7a078
20,a08935a2-99a8-49f0-b73a-f8de51ca0abd
21,66c00c79-11a0-4c11-af28-a31a40931a90
22,7a368a0e-c231-4458-a4e0-43a3f6953954
23,0898833a-fca8-40b5-a738-8e1d4aa98322
24,55800aa3-486e-43f1-a0a3-1130709e4c0f
25,30077f02-9082-4179-b287-3c927eed1be9
26,b7b3f792-717c-4e96-ab82-1580ec58a612
27,e54ebe26-344e-4084-a102-4ca6bf82b25b
28,9ba904d4-5b0e-403c-b1bc-71e6a2bcdc0f
29,26f1b7d4-64fb-4c25-8734-47f7409fa7c1
30,7ce5471b-363c-46ab-b398-ca517347829a
31,932b9301-65da-4718-aa78-679daba791fb
32,07df1647-c4aa-479b-a7c2-1952aafbc6bb
33,a1ca1b7e-a737-4fc8-b070-3e606f52c0d6
34,6beb3465-4cb7-449b-b395-0eaa7764d4fe
35,a33597e2-742c-4bde-aa32-880e687454b2
36,1c6feb54-37a6-47b4-ae0a-a2f3005e7087
37,54b35383-6f69-453b-be91-b63005b97135
38,1e7209b8-f5d6-4241-a328-f0aa772d0c3b
39,e77e7118-9958-4ae0-8ecd-b705bde43c16
40,cd28c099-0971-41a5-a9cc-d44477c350df
41,b64b1423-0992-4942-b955-5785b81c1cd6
42,7cdb62b5-6632-4d1d-8e28-a4d26f5cbb74
43,94f323d7-ffeb-4b35-9c10-e5670d9b7bd8
44,47fc3b6a-6e2d-4cd1-87ce-00360cf62893
45,4969262f-2161-43c1-a48d-1799844fb859
46,17d20b9f-f49d-4164-9e7d-a1043052faae
47,73c0924f-dc35-4ab1-8136-2b5775cf4280
48,1ab3e343-3775-4d54-9dac-2b0834500025
49,499b1c74-d767-43d6-a084-b20d00010c70
50,89556e0f-b593-4b89-adb4-8f279923bb24
51,0bf7d15e-20d0-4246-8e99-59c3dd1a2dcb
52,31409513-c87e-497b-bcdb-4f91c51b5996
53,e3136489-2e9f-4490-a7a4-9b5a8355776c
54,e9d1bc97-2073-4ede-9665-ab400e8e7be6
55,9f0244d9-2b86-4065-85dc-6c2089ddc749
56,bedfaec0-2483-449c-9d0f-b8492469a4a2
57,8caa374e-b525-4314-82e2-b8a4d8828490
58,6f26079c-0269-473c-8db5-48c93b871572
59,0bf67b9f-7fa9-4458-8595-d1e738f26550
60,eb3f245f-1016-416a-bab1-6743f6450d34
61,d8baa380-1cf2-485e-8b61-e6b73aab3400
62,a676e908-5124-4f59-b35c-4617dac98872
63,9ceb9e51-60f0-4e1a-9656-caad3dd9a75f
64,68c05695-d552-4a40-b4a8-cc9f8d88b18f
65,c50f2e29-5fb5-4ac5-a2ea-1ae575443069
66,f15a375b-5aeb-48ff-a5c5-3334605186a0
67,383aeeda-a0da-442e-b018-70389e109700
68,44abc19c-aa5c-40bd-b1d0-9b2f236189ea
69,5e4447f8-8083-40eb-b75f-f7e9a0583d3c
70,c6163a13-ed92-44bf-9bad-9535d4516888
71,4ae2bdc0-e282-45f4-be7c-aa2853fda03b
72,5a3c0cad-eb95-43f2-9d62-c55f9d325ce9
73,73aac058-cb31-46c2-826d-29b161bfb23e
74,1b9ea2a4-61fe-4134-9042-b9b6d92aea7a
75,fbf7bf9d-d2ed-4f83-a5e7-098cef476906
76,3de54244-f7ba-46c9-aa99-01bd54625d25
77,6ef562a8-928c-4f56-86f1-592357fd5daa
78,92495e0a-61df-4c3d-9e2d-083ef2efed00
79,d2c81d3b-0816-4809-88e0-32d1451a8aa3
80,d87e2b48-3fc5-47e4-87c5-014e56e493df
81,597b6106-331b-4d3d-86f8-03931dfcf86a
82,4345dbd1-dfa8-4466-892a-4136a5ae08a2
83,a1faef96-3162-4cb0-bbd6-ec5771644123
84,da3deefd-e453-4ba6-9d32-54edf2dfd93d
85,ce1760f8-fa15-46c2-9e89-9f06b0654a4a
86,c18dbd6b-599d-40fe-870d-a0bf6b4d64f6
87,b6dadbf2-868f-475a-bc9c-c4eed397090d
88,1f4c3ff2-1948-4aff-872b-9e35bde43ac9
89,f708d3ed-a8a7-4185-8b3c-ec53bacbe56f
90,fe257a32-9aaf-4689-a309-23d952424071
91,162b53e8-7a5c-4ca6-9e23-e05526f7313b
92,6102e64f-516d-4b51-bc28-87dbfe089f5c
93,727f70ec-7434-44fd-8cd7-0583a1b07097
94,e62c0cf2-08f3-42c5-bad4-6de138fd9351
95,25fd0d90-dec6-4462-85a0-fcdffa6864bb
96,0a1d930e-fed4-4d23-adee-6f46a9ac8bdb
97,42ade571-5972-4160-9ecb-e0162a305fee
98,15ceaf10-4350-41a8-b409-51e97e9bf4ab
99,ae5f353c-afd0-4ed5-a4e3-d8b5bf48b5ec
100,f74ba6f1-102d-407b-a9e8-3008ad72cdf7
101,e2591002-0bb4-4adc-a30a-49e3505355b5
102,ca74915b-4aca-4bfe-9b5c-2c2193e9426e
103,4b2fbc4b-533f-4084-8cd8-02132e2acea0
104,7c8b371e-51b1-48a4-a112-de37dd8287ec
105,e3e28ad9-50a4-4a33-b675-bb611d49b517
106,f940d132-74b5-4a4d-9e7e-9b92ebe0570e
107,62b17722-b7a4-4cbe-a004-4627f928bdb9
